team,total_matches,total_wins,total_losses,total_draws
Manchester City,408,275,67,66
Manchester United,408,232,78,98
Chelsea,407,229,88,90
Liverpool,407,223,89,95
Tottenham Hotspur,405,216,97,92
Arsenal,407,215,99,93
Everton,406,160,128,118
West Ham United,368,118,153,97
Newcastle United,369,117,166,86
Southampton,331,112,129,90
Leicester City,256,107,90,59
Crystal Palace,292,94,135,63
Stoke City,304,93,125,86
West Bromwich Albion,332,88,148,96
Swansea City,266,82,118,66
Aston Villa,292,73,143,76
Burnley,218,65,97,56
Sunderland,266,64,124,78
Fulham,218,57,104,57
Wolverhampton Wanderers,180,56,76,48
Watford,190,56,92,42
AFC Bournemouth,189,56,90,43
Norwich City,190,44,99,47
Brighton and Hove Albion,141,32,62,47
Wigan Athletic,114,29,51,34
Hull City,114,27,62,25
Queens Park Rangers,114,22,66,26
Bolton Wanderers,76,22,38,16
Blackburn Rovers,76,19,40,17
Sheffield United,66,18,34,14
Cardiff City,76,17,46,13
Huddersfield Town,76,12,47,17
Leeds United,26,11,13,2
Blackpool,38,10,19,9
Birmingham City,38,8,15,15
Reading,38,6,22,10
Middlesbrough,38,5,20,13
